question,A1,A2,A3,A4,correct,explanation
למה מנוחה עשויה למנוע מכת חום?,כי אז יושבים בצל ומתקררים,כי אז שותים מים ומונעים התייבשות,כי אז מפסיקים להעמיס חום ומאפשרים לגוף לפנות את החום הקיים,כל התשובות לעיל נכונות,A3,"עומס חום (היפרתרמיה) נוצר כאשר הגוף מעלה את חומו בשל מאמץ (פעילות גופנית), ביגוד לא מתאים ותנאי מזג אויר קשים (יום חם ולח). כדי לפלוט עודפי חום הגוף מזיע וכן מרחיב את כלי הדם הפריפריים. כך החום נפלט דרך הזיעה או דרך העור. כאשר כמות החום המצטברת עולה על זו שהגוף מצליח לפנות מתרחשת מכת חום. שימו לב שמכת חום עלולה להתרחש גם בצל וגם אם הקפדנו לשתות מספיק מים! בחייל חולה נפגע מנגנון פינוי החום ולכן הוא חשוף יותר להיפרתרמיה."
"אדם נחבט בראשו על ידי כבש נגמ""ש. הוא מבולבל, מתקשה לשחזר מה קרה וחש בכאב מקומי אך אינו סובל מאיבוד זיכרון או מהקאות. מה נעשה?",נשטוף לו את אזור הפגיעה במים ונמליץ על אקמול,נסביר לו שעליו לפנות אלינו מחדש אם הוא מרגיש יותר רע,נשאיר אותו להשגחה אצלנו ונעיר אותו כל שעתיים,"נפנה אותו, ברגע שאפשר, להערכה רפואית והמשך מעקב",A4,"חבטה בראש יכולה לגרום לזעזוע מוח. זעזוע מוח מתבטא באיבוד זיכרון זמני, כאבי ראש, בחילות והקאות וסחרחורות. במקרה של זעזוע מוח קל אין אובדן הכרה אך יש בלבול. קיים חשד לפגיעה פנימית של כלי דם במוח. הדימום עלול להצטבר ולגרום לנזק תוך מוחי. לכן חשוב לפנות את הנפגע להשגחה רפואית של 24-48 שעות. הערה: פעולה לניקוז דם מהמוח על ידי קידוח הגולגולת נקרא בר-הולס. כיום, בזכות אמצעי הדמיה משוכללים, ניתן לבצע קרניוטומיה שבה מסירים חלק מהעצם ומנקזים את הדם וקרישי הדם."
למה 90% מפגיעות החזה ניתנות לטיפול בשטח?,כי מדובר בפגיעות לא מסכנות חיים,כי הטיפול מציל חיים בשטח דומה לטיפול שנעשה בבתי החולים,כי בפגיעות חזה אין איבוד דם,"כי פגיעות חזה הינן דבר נדיר בגלל השכפ""צים",A2,"פגיעות חזה נפוצות מאוד בשדה הקרב, ועלולות להיות קטלניות בשל האיברים החיוניים הנמצאים בחלל בית החזה. במרבית המקרים יהיה ניתן לטפל בפגיעת חזה בשטח, מאחר וב- 90% מהפגיעות הטיפול מסתיים בניקוז חזה (טרוקר) בלבד."
"אדם חולץ מהים עם קוצר נשימה, חרחורים וירידה במצב ההכרה. הוא קר ורועד. — מהו המצב ומה חשוב לבצע כחלק מהטיפול?","טביעה, לתת חמצן ולכסות את הנפגע","היפרוונטילציה, לתת לו לנשום לשקית","חנק קל, לעודד שיעול בלבד","היפרגליקמיה, לתת שתייה מתוקה",A1,"קוצר נשימה, חרחורים וירידה בהכרה לאחר יציאה מהמים מתאימים לטביעה. בטיפול נותנים חמצן ומונעים היפותרמיה."
מה נבדוק באמבו לפני השימוש?,איטום המפוח ולחיצה עליו כדי לבדוק את שלמותו,ריקון המפוח ואטימתו כדי לראות אם הוא לא מתנפח,איטום פתח יציאת האויר כדי לראות שהמפוח לא מתרוקן,כל התשובות לעיל נכונות,A4,"ישנן שלוש בדיקות חשובות שנעשה כדי לוודא שבידינו מכשיר אמבו תקין. א - בדיקת שלמות המפוח: נאטום את המפוח ונלחץ עליו כשהוא נפוח ב - בדיקת שלמות המפוח: נרוקן את המפוח ונאטום אותו. אם המפוח מתנפח, אז אין אטימה טובה ג - בדיקת השסתום האחורי ומחבר T : אם המפוח מתרוקן אז השסתום לא תקין"
ילד בן 12 עם שבר ברגל שאינה בזווית נוחה לקיבוע. מה תעשה?,נזיז מעט לקיבוע נוח,לא נקבע נכניס לרצועה של קרש גב,נקבע לגוף בזווית הנוכחית עם 2 משולשים,אין צורך לקבע,A3,
חייל לקה בהיפותרמיה לאחר שמירה בלילה קר כשהוא רטוב מהגשם. פעולתנו הראשונה?,קירוב החייל למקור חום כמו תנור או אש,הכנסת המטופל לאמבט אדים חם,החלפת הבגדים הרטובים בביגוד חם ויבש,החדרת עירוי מחומם,A3,"בגדים רטובים מורידים את הבידוד ב 95% מיעילותו. בתנאי רוח הם אפילו עלולים להחמיר את קירור הגוף. על כן, חשוב להחליף את כל הבגדים הרטובים של הנפגע בבגדים חמים ויבשים ולכסותו בשמיכות. בנוסף, אפשר לחמם את המטופל אך באופן הדרגתי. קירוב למקור חום חשמלי או לאש עלול להיות בעייתי משום שהמטופל לא חש לגמרי בחום ועלול לקבל כוויות. שתיית אלכוהול מסוכנת משום שהאלכוהול מרחיב את כלי הדם הפריפריים. אמנם נוצרת תחושת חום אבל בפועל, יותר חום גוף בורח מהגוף. מכאן שכלב סאן ברנארד שמביא חבית ברנדי הוא לא פיתרון מוצלח ביותר... עירוי בטמפרטורת הגוף (אפשר לחמם אותו, זמן מה, על ידי הנחתו בבית השחי של החובש) עשוי להועיל, אך הוא אינו נחשב לצעד הראשון שלנו במקרה זה."
פגיעה בבסיס הגולגולת תאופיין בסימן ייחודי?,שיתוק בהצלבה,פרכוסים והקאות,אי שליטה על סוגרים (שתן וצואה),המטומות משקפיים,A4,"דנו בשאלה קודמת על מאפייני שבר בגג הגולגולת. שבר כזה יכול להיות פתוח ולהוביל לבצבוץ רקמת מוח החוצה או שבר דחוס שבו העצם נלחצת אל רקמת המוח פנימה. נפילה מגובה או פגיעה בעורף יכולה לגרום לשבר בבסיס הגולגולת. לפגיעות אילו מתלוות, בנוסף לכל הסימנים של פגיעה בגג הגולגולת, גם סימנים כמו יציאת CSF מעורבב בדם מהאוזניים והאף ותופעה של שטפי דם תת עוריים סביב האוזניים או העיניים המזכירים עיניים של רקון (מין חיה): Raccoon Eyes. הערה: ל 25% מכלל נפגעי הראש היתה פגיעה בעמוד שדרה צווארי. מכאן החובה לקבע את הנפגע עם צווארון פילדלפיה, ספר תורה וקרש גב."
היכן מניחים את האלקטרודות של AED ?,מתחת לקלוויקולה בצד ימין ובקו בית שחי מצד שמאל,בקו בית שחי בצד ימין ומתחת לקלוויקולה בצד שמאל,מעל הלב בצד שמאל ובקו בית שחי מצד ימין,מעל הלב במרכז החזה ועל הגב בדיוק מאחורי הלב,A1,"AED = automated external defibrillator זהו מכשיר דפיברילטור, כלומר מכשיר הנותן מכת חשמל כדי לאפס הפרעות קצב לב וכדי להחזיר את הלב לפעילות סדירה. המכשיר מנחה בהוראות קוליות ולכן כל אחד יכול להשתמש בו (המכשיר נמצא ברכבות, טיסות ומוסדות ממשלתיים גדולים). את האלקטרודות יש להניח האחת מתחת לקלוויקולה (עצם הבריח) בצד ימין (מעל הפטמה) ואת השניה בצד שמאל בקו בית שחי. יש לשים לב לאיורים ולהנחיות הקוליות ולפעול בהתאם."
מבין ההתקפים מהו החמור ביותר?,Grand Mal,Status Epilepticus,Petit Mal,כולם שווים,A2,
"טביעה - חולץ ממים, מחוסר הכרה ללא דופק וללא נשימה. כיצד תטפל?",CAB 30:2,CAB 15:2,ABC 30:2,ABC 15:2,A3,
מה נכון לגבי מבנה בית החזה?,קרומי הפלאורה צמודים ואינם ניתנים להפרדה,הריאה הימנית קטנה יותר מהריאה השמאלית,"מעל לכל צלע עובר וריד, עורק ועצב",כל פגיעה מתחת לצלע החמישית נחשבת גם לפגיעת בטן,A3,"בתוך בית החזה עצמו מצויות הריאות. ריאה שמאל קטנה יותר מריאה ימין, ומורכבת משתי אונות. ריאה ימין מורכבת משלוש אונות. בין שתי הריאות קיים חלל המיצר (מדיאסטינום) ובו נמצאים הלב, אבי העורקים, הוריד הנבוב, קנה הנשימה והוושט. את תחתית בית החזה תוחמת הסרעפת (דיאפרגמה). בשל המבנה הכיפתי של הסרעפת, הצלעות מגנות גם על חלק מאיברי הבטן, לכן כל פגיעה מתחת לצלע 5 תיחשד גם כפגיעת בטן. הערה: קרומי הפלאורה נפרדים. יש קרום שמחובר לריאה (ונקרא הקרום הויסרלי) ויש קרום שמחובר בצלעות (ונקרא הקרום הפרייטלי). רק אם חלה פגיעה בהם (למשל טראומה), אז, אחרי שהם מתאחים הם הופכים לקרום אחד."
הגעתם לאדם בן 24 עור סמוק חם ולח שלולית שתן. דופק 60 נשימות 18. למה תחשדו?,CVA,עילפון,היפוגליקמיה,היפרגליקמיה,A3,
מהו מטבוליזם?,תהליך מעבר מים דרך קרום תאי,סך כל התהליכים הכימיים המתרחשים בגוף ליצירת אנרגיה,מערכת הובלת חמצן בדם,תהליך יצירת תאי דם,A2,מטבוליזם = סך התהליכים הכימיים בגוף: קטבוליזם (פירוק) + אנבוליזם (בנייה).
"בחור אפילפטי מפרכס, לא לקח תרופות. הטיפול הראשוני יכלול:",הזעקת נטן ריפוד ראש הרחקת חפצים דבש מתחת ללשון,הזעקת נטן הנשמות מיידיות ריפוד ראש,הזעקת נטן החדרת AW לאחר סילוק קצף,הזעקת נטן ריפוד ראש שמירת נתיב אוויר הרחקת חפצים,A4,
רוכב אופנוע מחוסר הכרה עם נשימות מחרחרות ושבר פתוח מדמם. הפעולה הראשונה?,פתיחת נתיב אוויר,עצירת דימום וקיבוע לקרש גב,עצירת דימום ומתן חמצן,פתיחת נתיב אוויר תוך שמירה על עמוד שדרה,A4,
מהי ההגדרה של עילפון (syncope)?,חוסר הכרה זמני עד 30 שניות,שינה ממש קצרה שנגרמת מלחץ,איבוד הכרה זמני הנגרם מהפרעה באספקת הדם למוח,כל מצב של חוסר הכרה זמני מסיבה שלא ברורה למדע,A3,
הנחת קרח (עטוף במגבת) על אזור שנחבל לפני זמן קצר,"מסוכנת, כי זה עלול לכווץ כלי דם ולמנוע אספקת דם הנחוצה לריפוי המקום","בעייתית, כי זה עלול להחמיר סטגנציה של דם","מומלצת, כי זה אמור לכווץ כלי דם ולמנוע בצקות ונזק משני על העצבים","מומלצת, בתנאי שהפעולה נעשית במסגרת מרכז רפואי ותחת השגחה רפואית",A3,"הטיפול המידי כולל קיבוע למניעת כאבים ונזקים נוספים, קירור מקומי (על ידי שקית קרח עטופה במגבת) ופינוי להמשך בירור וטיפול. קירור האזור בשעות הראשונות לפגיעה מכווצות את כלי הדם ומונעות בריחת נוזלים הגורמים לבצקת. הבצקת יוצרת לחץ על כלי דם ועצבים באזור ולכן מחמירה את הכאב ופוגעת בתהליך ריפוי תקין. כמו כן, קירור עשוי לצמצם את החשת החומרים הדלקתיים לאזור ולמנוע שקיעתם, דבר שעלול להוביל לכאבים ומגבלות לאורך זמן. יצוין כי לאחר 24 שעות, תהליך הקירור כבר אינו יעיל. בשלבים אילו יש לשקול פעולת חימום והמרצה כדי לפזר חומרים דלקתיים מהאזור. למידע על היבטים מדעיים של הטווינה להורדת מצגת מפורטת בנושא הצלת חיים"
מה מאפיין חזה אויר בלחץ?,קוצר נשימה,פגיעה בזרימת הדם,שימוש בשרירי עזר,כיחלון,A2,"חזה אויר בלחץ = Tension pneumotorax נגרם כאשר נוצר שסתום חד כיווני המאפשר לאויר להילכד בין קרומי הפלאורה. שסתום זה יכול להיווצר כאשר נכנס אויר מהסביבה אל החלל בין הקרומים או כאשר נכנס אויר דרך קנה הנשימה ועובר מהריאות אל החלל שבין הקרומים. האויר מצטבר ויוצר לחץ על מערכות פנימיות שונות בבית החזה: לחץ על הריאה הפגועה וקריסתה ובמקביל, לחץ מתמשך וגובר על הריאה התקינה. סטיה של חלל המדיאסטינום (חלל הביניים שבו נמצא הלב וכלי הדם, בין שתי הריאות) כאשר לחץ האויר דוחק אותו אל הצד הבריא. פגיעה בהחזר ורידי בגלל לחץ על הלב וסטיתו. מכאן שתפגע אספקת הדם לאברים חשובים בגוף ויופיעו סימני הלם קרדיוגני. בנוסף: גודש ורידי צוואר על רקע הפרעה בחזרה ורידית ללב מכל הגוף, ירידה בלחץ דם על רקע ירידה בהחזר הורידי, אמפיזמות תת עוריות שנוצרות בשל בריחת אויר אל תת העור וקנה מוסט בשל דחיקת המדיאסטינום וכל המבנים בו אל הצד הבריא."
כמה זמן לוקח לכוויה דרגה ג להחלים מעצמה?,כשלושה ימים,כשלושה שבועות,כשלושה חודשים,היא לא מחלימה מעצמה,A4,שים לב לטבלה בשורה האחרונה.
לחייל שעסק בפעולה מבצעית מאומצת במהלך יום חם ולח במיוחד הופיעו פרכוסים והזיות. בדיקת חום רקטלי הצביעה על 39 מעלות צלסיוס. האם הוא סובל ממכת חום?,"לא, צריך לפחות 40 מעלות ויותר","לא, יתכן שיש לו אפילפסיה","כן, כל טמפרטורה מעל 38 מעלות נחשבת למכת חום אפשרית","כן, הסימנים הנוירולוגיים מעידים על מכת חום גם אם החום לא עבר את הסף הנדרש",A4,"אין אחידות בנוגע להסכמה על טמפרטורת הסף הנדרשת להגדרת מכת חום. עם זאת, יתכן שמדידה מוטעית תתן פחות מ 40 מעלות חום אך כל שאר הסימנים, ובעיקר סימנים נוירולוגיים, יעידו על מכת חום. במקרה זה, הנפגע יוגדר כסובל ממכת חום."
"נקראת לטפל בילדה בת 9 בעקבות קוצר נשימה חריף בטיול אביבי בגולן. בהגעתך הנך מבחין בילדה ישובה, הוריה לצידה, שוללת עקיצת בעל חיים. בבדיקה: בהכרה, מתנשמת במהירות 28 נשימות בדקה, אינה מצליחה להשלים משפט, ניתן לשמוע קולות צפצוף בנשימתה, דופק 130 פעימות בדקה, לחץ דם: 90/60, חיוורת מאוד ומזיעה. במה תחשוד וכיצד תטפל?",לאחר פרכוס,חשד להרעלה,CVA,היפוגליקמיה,A3,
"פגשת באדם בן 70 שיושב כפוף קדימה, מתלונן על כאב לוחץ בחזה, מזיע, חיוור ומחזיק את יד שמאל. הוא מספר שהכאב מקרין גם ללסת. — מהו המצב הסביר ביותר?",היפרוונטילציה,אוטם שריר הלב,דלקת ריאות,עילפון,A2,"כאב חזה לוחץ עם הקרנה ליד שמאל ולסת, הזעה וחיוורון מתאימים לאירוע לבבי כמו אוטם."
"כיצד נמליץ בטלפון, לאדם לא מיומן בעזרה ראשונה, לעצור שטף דם",לחפש עורק שמוליך אל שטף הדם וללחוץ עליו,ללחוץ ישירות על מקום הפציעה עם פיסת בד או ישירות,ללחוץ במקום ששומעים דופק לפני אזור הדימום,ללחוץ על נקודות לחיצה בעזרת לחץ ישיר של האגרוף,A2,"מטפל מיומן יכול לאתר נקודות לחיצה במקומות שונים בגוף ולעצור שטף דם. נקודות לחיצה הן נקודות בהן כלי הדם עובר פריפרית ומעל משטח קשה כמו עצם. לחיצה על כלי הדם תגרום לעצירת זרימת הדם מנקודה זו ואילך. נקודות כאילו נמצא בראש, צוואר, כתפיים, זרועות ובגפיים התחתונות. אדם שלא הוכשר למתן עזרה ראשונה יכול לסייע על ידי לחיצה ישירה על מקום הדימום, עדיף עם פיסת בד. לחיצה מספיק עמוקה וממוקדת יכולה לעצור את שטף הדם או למזער, להאט את זרימתו ובכך להציל חיים. להורדת מצגת מפורטת בנושא הצלת חיים"
"6. במהלך בילוי בחוף הים נתקלת במקרה טביעה של ילד בן 3 שנמשה זה עתה מהמים ע""י המצילים, בבדיקה: ללא הכרה, ללא סימני חיים, ללא נשימה ודופק. מה הוא סדר הטיפול בהנחה שאתה מטפל יחיד?","החייאה ע""פ סדר ABC ביחס עיסויים- הנשמות 3:1","החייאה ע""פ סדר CAB ביחס עיסויים- הנשמות 30:2","החייאה ע""פ סדר ABC ביחס עיסויים- הנשמות 30:2","החייאה ע""פ סדר CAB ביחס עיסויים - הנשמות 15:1",A3,
מה זה פתופיזיולוגיה?,תורה החוקרת את מבנה הגוף,תורה החוקרת את התהליכים הכימיים בגוף,תורה החוקרת דרכי פעולתן של המחלות,ענף משנה של הפתולוגיה – החוקרת השתלשלות אירועים המביאה להופעת תסמיני המחלה,A4,פתופיזיולוגיה = מנגנון המחלה – כיצד גורמי מחלה משפיעים על תפקוד הגוף.
סימן הזיהוי הקלאסי של COPD הוא:,חרחורים בנשימה,קשיים בתזוזה חולשה,חיבור למחולל חמצן,גודש בוורידי צוואר,A3,
מה מהבאים מתאר התקף אסטמה?,החמרה במחלה נשימתית כרונית חסימתית,חסימת כלי דם על ידי קריש,היצרות סימפונות בעקבות הפרשת מוקוס מוגברת,קושי בהכנסת אוויר,A3,
מה נכון לגבי תמרון היימליך?,מבוצע באמצעות אגרוף עם יד שניה שעוטפת אותו,מבוצע בתנועה סיבובית פנימה ולמעלה באזור הקסיפואיד,מבוצע כאשר המטופל עומד זקוף ככל שניתן,מבוצע על החזה כאשר מדובר במטופל שמן או אישה בהריון,A3,יש להטות את גוף הנפגע לפנים. במקרה שלא ניתן להקיף את הנפגע יש להשעינו כנגד קיר. אם המטופל שוכב נבצע Abdominal thrust = עיסוי בטני בעזרת האגודלים.
סימני היפרגליקמיה בשלביה הראשונים כוללים:,עור אחי אבדן הכרה מהיר השתנה מרובה פרכוסים,עור חלק ריח אצטון מהפה,עור אחי ריח אצטון אבדן הכרה איטי השתנה מרובה,עור חלק אבדן הכרה מהיר פרכוסים,A3,
"ילדה בת 9 עם צפצופים 28 נשימות, לחץ דם 90/60. למה תחשוד?",התקף אסטמה - הושבה חמצן פינוי דחוף,התקף חרדה - הושבה חמצן פינוי דחוף,היפוונטילציה - הושבה חמצן פינוי דחוף,אף תשובה אינה נכונה,A1,
מהם סיכוני פגיעת בטן?,בעיות נשימה,איבוד נוזלים ודם,זיהום,כל התשובות לעיל,A4,"הבטן מכילה את האיברים הבאים: סרעפת (גבול עליון שמפריד בין הסרעפת לחזה) - פגיעה בה תגרום לבעיה נשימתית טחול, כבד, כליות (איברים שעשירים בכלי דם) - פגיעה בהם תגרם להלם היפוולמי קיבה, מעי דק, מעי גס (איברים שמכילים חיידקים) - פגיעה בהם תגרום לזיהום עד כדי הלם ספטי מכאן שכשמתמודדים עם פגיעת בטן צריך לשלול, קודם כל, בעיות נשימה. אחרי כן להתמקד בטיפול הלם ואילו בבעית הזיהום, אף שהיא חשובה, נתמקד פחות."
איזה סימן אינו מאפיין היפותרמיה?,נשימה מהירה,עור קר למגע,כחלון פריפרי,ירידה במצב ההכרה,A1,"הנשימה תהיה איטית וכך גם הדופק. בנוסף נצפה בסימנים כמו צמרמורות, חיוורון כללי וכיחלון פריפרי (למשל בקצות האצבעות ובשפתיים) וכמובן עור קר למגע."
מה לא נכון לגבי טיפול אנטיביוטי בשטח?,"לפצוע בהכרה ללא חבלה חודרת בגו (בטן, חזה או גב), ניתן מנה בודדת של Megaxin בסך 400 מ""ג PO כל 24 שעות.","לפצוע מחוסר הכרה עם פגיעה בגו או בפצוע עם הלם היפוולמי ניתן מנה בודדת של Megaxin בסך 400 מ""ג לתוך הוריד כל 24 שעות.","בפציעת ראש חודרת ניתן Rocefin בסך 2 מ""ג לווריד, אחת ליום. כמו כן, ניתן Flagyl בסך 500 מ""ג שלוש פעמים לתוך הווריד.",יש להתחיל את הטיפול האנטיביוטי כשש שעות לאחר הפציעה כך שרוב המטופלים בשטח לא יקבלו אנטיביוטיקה.,A4,"בכל פצוע שהיתה לו פגיעה חודרת, יש להתחיל טיפול אנטיביוטי תוך שעה מרגע התחלת האירוע. כמות האנטיביוטיקה תינתן על בסיס הנתונים שהופיעו בשאלה."
"הגיע אלינו נפגע ללא סימני פציעה חיצוניים. הנפגע מפגין מצוקה נשימתית תוך שימוש באברי עזר, כחלון ודופק מהיר. חבריו מספרים שנשמע פיצוץ חזק והוא נמצא בקרבת המקום. סביר שיש לו?",דימום פנימי הגורם להלם,פנאומוטורקס על רקע הדף,פגיעה בטנית עם לחץ על הסרעפת,פגיעת ראש,A2,"קרע של קרומי הפלאורה יוביל לקושי בהרחבת הריאה בצד הנפגע. אם אויר נכנס ויוצא בחופשיות דרך קרע זה (כניסת האויר יכולה להגיע מחוץ לבית החזה או דרך הריאה הפצועה עצמה), הריאה שנפגעה אינה מקבלת חמצן. לתופעה זו קוראים חזה אויר = פנאומוטורקס. תופעה זו מתאפיינת בסימנים הבאים: קשיי נשימה המטופל מפגין רעב לאויר שתמבטא בשימוש באברי עזר כמו הרחבת נחיריים, שימוש בשרירי הכתפיים והצוואר על מנת להרים את בית החזה. בנוסף, חרחורים וצפצופים, הפרשת קצף (לעתים דמי) מהפה, כאבים, כיחלון (על רקע חוסר חמצן) וכאבים. בתאג""ד ניתן לאבחן ירידה בסטורציה והדיות יתר. בצד הפגוע ניתן להאזין עם סטטוסקופ ולאבחן כניסת אויר מועטה יחסית לצד התקין, אך זה די קשה לאבחון, בעיקר בתנאי שדה. לכן, צילום רנטגן יוכל לאושש את האבחנה בצורה טובה יותר. הערה: חזה אויר יכול להיגרם על רקע פציעת ירי, סכין, רסיס או הדף. יתכנו מקרים בהם הפנאומוטורקס מתרחש באופן ספונטני, תופעה שמיוחסת בעיקר לאנשים גבוהים ורזים הסובלים מתסמונת מרפן (שם הקולגן לא תקין)."
מה נכון לגבי פגיעת מדוזות?,יש לשטוף את הפגיעה עם הרבה מים מתוקים,אם יש פריחה ניתן להשתמש במשחה נוגדת אלרגיות,פגיעתה של מדוזה חיה מסוכנת יותר מזו של מתה,עדיף להסיר שאריות מדוזה עם מלקחיים,A4,"פגיעת מדוזה פגיעה מתבטאת לרוב בצריבה, פריחה ובגירוי בעור. לטיפול שלוש מטרות: מניעת צריבה, נטרול התאים הצורבים וסילוק הזרועות (במידה שנדבקו לעור). חשוב להשתמש בכפפות כדי להימנע ממגע עם התאים הצורבים. שאריות של זרועות יש להסיר בעזרת פינצטה. זהירות! גם מדוזה מתה על החוף עלולה לפגוע ולצרוב. יש לשפוך מי מלח או חומץ (עדיף) על מקום הפגיעה כדי לנטרל את התאים הצורבים. אין לשטוף את אזור הפגיעה במים מתוקים או באלכוהול, דבר הגורם לשחרור ארס נוסף אל תוך הגוף. בכל חשד לתגובה אלרגית חריפה יש לפנות בדחיפות למרכז רפואי. להורדת מצגת מפורטת בנושא הצלת חיים"
"ילד בן 12 עם חבל על צוואר, מחוסר הכרה ללא נשימה עם דופק. לפי איזו סכמה תטפל?",זה תלוי,סכמת טיפול בחולה,סכמת PHTLS,סכמת החייאה,A3,
"5. אדם נמצא בביתו תשוש, על סף איבוד הכרה. הוא מזיע, עורו חיוור וקר, נשימה 20 לדקה, דופק 80 לדקה. מתלונן על רעב, חולשה, הקאות והוא רועד מידי פעם. סביבו פזורים מזרקים וחומרים מסוגים שונים. איזה אירוע נוכל לשלול?",שימוש במנת יתר של סמים.,שימוש באלכוהול בשילוב עם בליעת חומרים נוספים.,התקף היפוגליקמיה עקב הזרקה של יותר מידי אינסולין.,התקף היפרגליקמיה עקב אכילה מופרזת ללא הזרקת אינסולין.,A4,
גברת 25 בפאניקה מנסה לנשום ולהשתעל. מהי הסכנה?,פרכוסים,MI,השתנקות חסימה מלאה,הפרעות קצב,A3,
[שאלת העשרה] מהם מנגנוני הסיכון בפגיעת בטן?,"הלם יכול להיגרם על רקע איבוד דם כתוצאה מפגיעת כלי דם, כתוצאה מאיבוד נוזלים על רקע התייבשות המעיים וכתוצאה מזיהומים",דלקת יכולה להיגרם על רקע שפיכת תוכן המעיים המכיל חיידקים או בשל שפיכת נוזלים כמו שתן ומיצי עיכול הגורמים לדלקת כימית,אחת הסיבות לדימום בטני היא שברים בצלעות תחתונות שפגעו בכבד או בטחול או שבר באגן,כל התשובות לעיל נכונות,A4,אין הרבה מה להוסיף אך יצוין כי דלקות בבטן עלולות לגרות את קרום הצפק ולהוביל לפריטוניטיס (איטיס = דלקת).
"בן 70 סכרתי עם כאבים בלסת והזעה, סוכר 90. למה תחשוד?",היפרגליקמיה,MI,SILENT MI,חור בשן,A3,
מהו הטיפול המתאים ביותר ל Flail Chest?,העשרה בחמצן והרגעת כאבים,קיבוע השבר בצלעות עם פלסטרים,קיבוע השבר בצלעות עם תחבושת אלסטית,קיבוע השבר בצלעות עם תפירה,A1,"כאשר ישנם מספר שברים באותו צד של בית החזה, מדובר ב Flail Chest. פירוש המושג בעברית: חזה מרפרף. כאמור, במצב זה המקטע השבור ינוע ביחס הפוך לבית החזה, כלומר, כשהחזה עולה המקטע שוקע ולהיפך. לתופעה זו קוראים נשימה פרדוכסלית. מעבר לסכנת פגיעה ברקמות פנימיות, לאורך זמן חלה פגיעה נשימתית. בעבר חשבו שעיקר הפגיעה נובעת מאוורור לא תקין של הריאה הפגועה והעברת הבעיה אל הריאה הבריאה (האויר הלא מחומצן עובר מהצד הפגוע לצד הבריא) אך כיום ידוע שהבעיה הנשימתית נגרמת, בעיקר, מכאב חזק שמונע מהפצוע לנשום נשימות עמוקות. משככי כאבים (ואפילו מורפיום) יכולים לסייע בבעיה זו. מובן שאם יש חמצן, ניתן גם אותו. בפלה""ק ניתן לבצע פעולה זו על ידי מכשיר PEEP = Positive End Expiratory Pressure לאחר הרפייה מוחלטת של השרירים, עד לאיחוי הקטע השבור, אולם מכשיר זה אינו קיים בתאג""ד."
"אדם מבוגר מדבר בצורה לא ברורה, צד אחד של פניו שמוט, והוא אינו מצליח להחזיק את שתי הידיים מורמות באותו גובה. — מה עליך לחשוד?",שבץ מוחי,התקף אסתמה,תגובה אלרגית,הרעלת מזון,A1,"צניחת פנים, שמיטת יד ודיבור לא תקין הם סימני FAST לשבץ."
"בהחייאה בשניים, בזמן שחובש א מבצע ___, חובש ב מבצע?",כשחובש א בודק הכרה השני מחפש דופק בקרוטיד,כשחובש א פותח נתיב אויר השני חושף בית חזה וצוואר,כשחובש א עושה שתי הנשמות השני בודק יעילות הנשמה,כשחובש א בודק יעילות העיסוי השני קורא לעזרה,A3,חובש א בודק הכרה. השני קורא לעזרה חובש א בודק דופק בקרוטיד. השני חושף בית חזה וצוואר חובש א פותח נתיב אויר. השני מתחיל 30 עיסויים על הסטרנום חובש א מבצע שתי הנשמות. השני בודק יעילות ההנשמה חובש א בודק דופק כדי לוודא את יעילות העיסויים. השני מבצע 30 עיסויים
הסכנה העיקרית במבוגר מחוסר הכרה היא:,צניחת בסיס לשון,בליעת לשון,איבוד דופק,הפרעות קצב קטלניות מסוג VF,A1,
מהו תהליך האוסמוזה?,מעבר מולקולות מים דרך קרום חדיר למחצה מאזור דל מומסים לאזור עשיר,מעבר חמצן מהריאות אל הדם,תהליך של פירוק סוכרים במעיים,תהליך הובלת דם בכלי הדם,A1,אוסמוזה = מעבר מים דרך קרום חדיר למחצה מאזור דל מומסים לאזור עשיר.
מה נכון לגבי טיפול בפציעה עם רסיס?,יש להוציא את הרסיס ולטפל בדימום במידה והוא מופיע,יש לחבוש על הרסיס כדי לצור לחץ למניעת שטף דם,יש לחבוש משני צידי הרסיס ולקבע כדי למנוע תזוזה,אין צורך לחבוש אך יש לתת אנטיביוטיקה,A3,"הטיפול בנפגעים עם רסיסים כולל פינוי למעט מקרים בהם הרסיס פגע שטחית ולא גרם לנזק ברקמות הפנימיות. בכל מקרה, אסור לבצע הוצאת רסיס בשטח מכיוון שהוצאתו עלולה להסב נזק לכלי הדם ואולי גם פגיעה נוירולוגית. יש לבצע חבישה משני צידי הרסיס (במידה והאזור מדמם, יש להציב שני דגלי אנגליה משני צידי הרסיס). אנטיבוטיקה תינתן כמו לכל פציעה אחרת."
